Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2018,4,"30,135",34761,"Allentown/Bethlehem/Easton, PA","Sanford, FL",882,319.5652174,103.2058844,G4,1.0000,103.2058844,G4,1.0000,103.2058844,-1,,
2018,4,"30,140",30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,608.4782609,220.3965345,WN,0.563951411,205.1171365,WN,0.563951411,205.1171365,-1,,
2018,4,"30,140",30325,"Albuquerque, NM","Denver, CO",349,465.8695652,162.7729118,WN,0.597526832,154.7439672,WN,0.597526832,154.7439672,-1,,
2018,4,"30,140",30397,"Albuquerque, NM","Atlanta, GA (Metropolitan Area)",1269,219.5652174,265.6419802,DL,0.742574257,275.2342,WN,0.163366337,233.4793939,-1,,
2018,4,"30,140",30423,"Albuquerque, NM","Austin, TX",619,251.9565217,171.8867558,WN,0.550043141,194.8815686,G4,0.201035375,93.51287554,-1,,
2018,4,"30,140",30466,"Albuquerque, NM","Phoenix, AZ",328,700,162.9948913,WN,0.797981366,159.6847636,WN,0.797981366,159.6847636,-1,,
2018,4,"30,140",30559,"Albuquerque, NM","Seattle, WA",1180,394.7826087,199.6643722,AS,0.559471366,212.7299213,WN,0.202367841,173.6885714,-1,,
2018,4,"30,140",30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",1974,232.7173913,278.6045773,WN,0.404483886,256.8756351,WN,0.404483886,256.8756351,-1,,
2018,4,"30,140",30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,555.9782609,293.9846334,WN,0.55601173,281.0426512,WN,0.55601173,281.0426512,-1,,
2018,4,"30,140",30977,"Albuquerque, NM","Chicago, IL",1121,370.9782609,264.7676531,WN,0.457954878,244.012348,WN,0.457954878,244.012348,-1,,
2018,4,"30,140",31453,"Albuquerque, NM","Houston, TX",759,370.1086957,250.1934802,WN,0.617621145,238.1300523,WN,0.617621145,238.1300523,-1,,
2018,4,"30,140",31454,"Albuquerque, NM","Orlando, FL",1553,198.4782609,243.6687295,WN,0.437020811,255.9528822,F9,0.198795181,101.9812672,-1,,
2018,4,"30,140",31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,526.9565217,264.8949464,B6,0.34859736,221.4070414,B6,0.34859736,221.4070414,-1,,
2018,4,"30,140",32211,"Albuquerque, NM","Las Vegas, NV",486,499.4565217,159.9797388,WN,0.864853101,165.0136638,G4,0.078998912,74.35812672,-1,,
2018,4,"30,140",32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,779.5652174,196.9439347,WN,0.648354713,196.8689892,AS,0.116285555,167.248801,-1,,
2018,4,"30,140",32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,"1,105.108696",177.6194944,WN,0.532900561,170.6516242,WN,0.532900561,170.6516242,-1,,
2018,4,"30,140",33570,"Albuquerque, NM","San Diego, CA",628,381.5217391,155.4378917,WN,0.71025641,153.3909747,AS,0.226495726,144.1903145,-1,,
2018,4,"30,140",34057,"Albuquerque, NM","Portland, OR",1111,245.6521739,216.3828319,AS,0.430088496,222.6245885,WN,0.350884956,203.1931904,-1,,
2018,4,"30,140",34614,"Albuquerque, NM","Salt Lake City, UT",493,209.5652174,227.8603734,DL,0.764004149,231.0487441,WN,0.176348548,210.4102941,-1,,
2018,4,"30,158",31454,"Atlantic City, NJ","Orlando, FL",852,247.0652174,99.47716674,NK,1.0000,99.47716674,NK,1.0000,99.47716674,-1,,
2018,4,"30,158",32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",977,274.2391304,107.5988506,NK,1.0000,107.5988506,NK,1.0000,107.5988506,-1,,
2018,4,"30,189",30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",592,241.5217391,222.0171917,AA,0.98019802,220.1626263,AA,0.98019802,220.1626263,-1,,
2018,4,"30,189",30466,"Colorado Springs, CO","Phoenix, AZ",551,196.9565217,110.7050221,F9,0.894591611,95.17230105,F9,0.894591611,95.17230105,-1,,
